Player,Team,GamesPlayed,MPG,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Dewayne Dedmon,SAC,20,14.9,2.1,5,0.6,2.4,0.6,0.7,1.4,2.5,1.3,2.9,4.2,0.4,0.5,0.6,5.3
Matisse Thybulle,PHI,20,15.6,1.4,3.5,0.8,1.9,0.6,0.8,1.1,2.4,0.2,0.8,1.1,1,1.4,0.7,4.2
Thon Maker,DET,20,11,1.1,2.1,0.3,0.7,0.8,1.6,0.5,1.4,0.5,1.2,1.8,0.5,0.3,0.7,3.5
Marco Belinelli,SAS,20,16.1,1.8,6,0.9,3,0.8,1.1,0.5,0.8,0.1,1.6,1.6,1.6,0.2,0,5.2
Semi Ojeleye,BOS,20,13.7,1,2.4,0.5,1.4,0.3,0.5,0.2,1.1,0.3,1.4,1.8,0.3,0.3,0.1,2.9
Bradley Beal,WAS,19,36.8,10.2,21.5,2.7,7.9,5.7,6.9,3.3,2.6,0.9,3.5,4.4,7.2,1.1,0.2,28.7
Domas Sabonis,IND,19,34.2,7.3,14.2,0.3,1.2,3.6,4.5,2.8,3.7,3.8,9.3,13.1,3.7,0.7,0.5,18.4
Hassan Whiteside,POR,19,27.8,6.2,10.4,0,0,2.9,3.8,2.1,3,3.6,9,12.6,1.2,0.4,2.2,15.3
Ben Simmons,PHI,19,34.3,5.4,10.3,0.1,0.2,2.1,3.6,3.7,3.4,1.6,5.4,7,8.4,2.4,0.5,13
Kemba Walker,BOS,19,32.3,7.1,17.3,3.5,8.9,4.3,4.7,2.1,1.7,1.1,3.6,4.7,5.1,0.9,0.5,21.9
Tristan Thompson,CLE,19,31.4,5.8,11.5,0.2,0.4,2.1,3.4,1.5,2.5,4.2,6.4,10.6,2.2,0.8,1.2,13.9
Al Horford,PHI,19,31.4,5.9,12.2,1.5,3.9,1.3,1.8,1.2,2.2,1.9,5.1,7.1,4.1,1.1,1,14.5
Jrue Holiday,NOP,19,36.2,7.7,17.4,1.8,5.3,2.1,2.8,3.3,2.5,1.2,3.7,4.9,6.9,1.9,0.8,19.3
Jonas Valanciunas,MEM,19,24.9,6.1,10.7,0.5,1.6,1.9,2.3,2.2,2.7,2.7,7.3,10,1.8,0.4,0.9,14.5
Jonathan Isaac,ORL,19,30.8,4.8,10.7,1.2,3.7,1.7,2.2,1.6,2.3,1.8,5.4,7.3,1.5,1.4,2.7,12.6
Marcus Morris,NYK,19,33,6,14.2,2.8,5.4,3.8,4.6,1.9,3.3,1.2,4.9,6.2,1.3,0.9,0.6,18.7
Davis Bertans,WAS,19,28.3,4.5,9.8,3.5,7.8,1.1,1.3,0.7,2.6,0.8,3.7,4.5,1.7,0.6,0.6,13.6
Marcus Smart,BOS,19,31.9,4.1,10.9,2.2,6.6,1.5,1.7,1.2,2.4,0.9,2.5,3.4,4.7,1.4,0.5,11.9
Ogugua Anunoby,TOR,19,29.6,4.3,8.1,1.6,3.6,0.7,1.3,1.2,2.5,0.9,4.6,5.5,1.7,1.2,0.9,10.9
Dejounte Murray,SAS,19,22.1,3.7,8.3,0.3,1.3,1.7,2.3,2.2,2.3,1.2,4.8,6.1,4.1,1.5,0.3,9.5
Robert Covington,MIN,19,27.3,4.3,9.4,2.2,5.7,1.9,2.2,1.5,2.9,0.7,4.7,5.4,1.2,1.4,0.9,12.6
Rui Hachimura,WAS,19,28,5.8,11.9,0.4,2,1.4,1.7,0.8,2.2,1.5,4.1,5.6,1.7,0.7,0.2,13.4
Nerlens Noel,OKC,19,18.7,3,4.7,0,0,1.6,2.1,1.2,2.9,1.3,3.5,4.7,1.4,1,1.7,7.6
Kenrich Williams,NOP,19,24.7,2.1,4.8,1.1,3,0.4,1,0.8,2.7,1.7,4.2,5.9,1.8,0.9,0.7,5.6
T.J. McConnell,IND,19,17.2,3.1,6.3,0.1,0.2,0.4,0.5,1.5,1.3,0.5,2.3,2.8,4.8,0.5,0.2,6.7
Ish Smith,WAS,19,23.4,3.4,7.9,0.7,2.3,0.4,0.7,1.1,1.7,0.6,2.4,3,3.9,0.8,0.4,8
Donte DiVincenzo,MIL,19,21,3.3,7.6,1.3,3.8,0.7,1.1,1.1,1.7,0.8,3.4,4.3,1.6,1.4,0.2,8.6
Terrence Ross,ORL,19,24,4.5,10.9,1.8,6.1,1.8,2.1,1.2,1.8,0.3,2.6,2.9,1,0.9,0.3,12.6
Frank Ntilikina,NYK,19,26.1,2.5,6.5,0.8,2.5,0.7,0.9,1.2,2.7,0.4,1.7,2.2,3.5,1.4,0.5,6.5
Aaron Holiday,IND,19,21.3,3.4,8.7,1.5,3.8,0.5,0.5,1.4,1.6,0.5,2.1,2.6,2.8,0.9,0.1,8.8
Solomon Hill,MEM,19,19.4,2.3,5.3,1.2,2.9,0.5,0.8,0.8,1.7,0.6,2.7,3.3,1.8,0.9,0.1,6.4
Taj Gibson,NYK,19,16.3,2.5,4.8,0.1,0.4,0.5,0.8,0.7,2.3,2,2.5,4.5,1.1,0.7,0.2,5.5
Mohamed Bamba,ORL,19,15.5,2.3,5.3,0.7,1.9,0.2,0.4,1.4,2.3,1.4,3.9,5.4,0.5,0.3,1.4,5.5
Seth Curry,DAL,19,21.4,2.7,6.4,1.5,4,1.4,1.5,0.8,1.8,0.3,1.5,1.8,1.6,0.6,0.2,8.4
Nicolo Melli,NOP,19,16.4,2.1,4.9,1.2,3.4,0.8,1.1,0.8,1.9,0.7,2.2,2.9,1.2,0.6,0.2,6.1
Chris Silva,MIA,19,10.1,1.5,2.2,0,0.1,1.1,1.5,1.3,2.8,1.9,2.2,4.1,0.6,0.2,0.7,4
Mario Hezonja,POR,19,17.7,1.6,4.5,0.5,1.5,1,1.2,0.9,2.2,0.6,3.9,4.5,1.1,0.6,0.1,4.8
Emmanuel Mudiay,UTA,19,15.3,2.9,6.2,0.4,1.4,0.9,1.2,1.7,1.5,0.3,2.2,2.5,2.2,0.3,0.2,7.2
Kevin Porter  Jr.,CLE,19,20.5,2.5,6.4,0.5,2.2,1,1.3,1.3,2.5,0.4,2.8,3.2,1.8,0.7,0.2,6.6
Treveon Graham,MIN,19,23.7,2.4,6.8,0.6,3.1,0.9,1.2,0.6,2.4,1.1,2.7,3.7,1.2,0.7,0.1,6.3
Cam Reddish,ATL,19,24.6,2.8,8.9,0.9,3.8,1.5,1.9,1.7,1.8,0.7,3,3.7,1.6,1,0.4,8.1
Terrance Ferguson,OKC,19,26.2,2.1,4.8,1.2,3.4,0.4,0.5,0.7,3,0.6,1.3,1.9,1,0.5,0.3,5.7
Frank Jackson,NOP,19,15.6,2.6,6.8,1.1,3.3,1.3,1.6,1.1,1.6,0.3,1.2,1.5,1.1,0.4,0.1,7.5
Grant Williams,BOS,19,15,0.7,2.8,0,1.2,0.7,0.9,0.8,1.9,0.7,1.6,2.3,0.9,0.4,0.6,2.2
Karl-Anthony Towns,MIN,18,33.3,8.8,17.6,3.7,8.7,4.6,5.7,3.2,3.3,2.7,9.7,12.3,4.3,1,1.4,25.9
Nikola Jokic,DEN,18,31.2,6.2,13.8,0.9,3.9,2.1,2.7,2.8,3.3,2.1,7.9,10.1,6.1,1.2,0.5,15.4
Malcolm Brogdon,IND,18,31.8,6.9,14.7,1.4,4.3,3.6,3.8,2.8,2.1,0.7,4.2,4.9,7.9,0.9,0.2,18.9
Thomas Bryant,WAS,18,28.4,5.6,10.2,0.6,1.9,2.2,2.9,1.3,2.4,2.3,6.2,8.5,2.7,0.4,1,13.9
Russell Westbrook,HOU,18,34.1,8.1,19.7,1.2,5.3,4.6,6.2,4.3,4.1,1.4,6.4,7.8,7.1,1.5,0.3,21.9
Jamal Murray,DEN,18,33.3,7.1,16.2,1.8,5.3,2.7,3,2.4,1.9,0.7,3.8,4.6,4.9,1.7,0.4,18.7
DeAndre Jordan,BRK,18,21.4,3.2,4.7,0,0,1.3,2.1,1.1,2.1,2.2,7,9.2,2,0.4,1.1,7.8
Larry Nance  Jr.,CLE,18,25.9,4.2,7.8,1.3,3.3,1.2,1.7,0.9,1.6,2,5.4,7.4,1.5,1.1,0.5,10.8
Brandon Clarke,MEM,18,21.2,5.1,8.1,0.6,1.2,1.1,1.3,1.1,1.7,1.3,4.6,5.9,1.3,0.5,0.9,11.8
Aaron Gordon,ORL,18,30.7,5.1,11.7,1.3,4,2.4,3.4,1.3,2.2,1.5,5.1,6.6,2.9,0.7,0.4,13.8
Paul Millsap,DEN,18,26.3,4.7,9.5,1.2,2.4,3.3,3.8,1.2,2.9,2.1,3.9,5.9,1.3,0.9,0.8,13.9
Goran Dragic,MIA,18,28.7,5.4,11.6,2.2,5.3,3,4.2,2.6,1.8,0.3,2.9,3.2,5,0.7,0.2,15.9
Bogdan Bogdanovic,SAC,18,27.5,5.2,12.7,2.8,7.2,1.7,2.3,1.9,1.8,0.2,2.5,2.7,4.7,1.4,0.1,14.8
Dwight Powell,DAL,18,25.6,3.5,5.2,0.3,0.7,1.2,2.2,0.9,2.7,1.6,2.9,4.6,1.3,0.8,0.4,8.5
Mason Plumlee,DEN,18,16.5,2.8,4.8,0,0.2,1.4,2.6,1.5,2.8,1.7,3.9,5.6,2.2,0.6,0.8,7.1
Josh Okogie,MIN,18,24.3,2.6,6.1,0.6,2.3,2.6,3.4,1.5,2.2,1.6,3.8,5.4,1.8,1.1,0.4,8.4
Robert Williams,BOS,18,14.2,1.8,2.7,0,0,0.4,0.8,0.9,1.8,1.3,3.4,4.7,1.2,0.9,1.2,4.1
Jaxson Hayes,NOP,18,20.2,3.3,5.3,0,0.1,1.7,2.7,0.9,3.1,1.9,2.7,4.6,0.7,0.8,0.9,8.3
Gary Harris,DEN,18,32.3,4.2,10.1,1.4,4.2,1.2,1.6,0.9,2.2,0.6,2.6,3.2,1.7,1.3,0.3,11
Jerami Grant,DEN,18,22.2,3.4,7.8,1,3.2,1.2,1.9,0.7,1.7,0.6,2.9,3.6,1.1,0.3,0.6,9.1
Monte Morris,DEN,18,17,2.7,6.4,0.4,1.1,0.8,1.1,0.6,0.7,0.2,1.5,1.7,3.3,0.3,0.2,6.6
Cameron Johnson,PHX,18,19,3,7,1.9,4.6,0.9,0.9,0.7,1.7,0.8,1.9,2.7,0.8,0.6,0.3,8.8
Tony Snell,DET,18,25.5,2.9,6.2,1.9,4.4,0.2,0.2,0.5,1.9,0.3,1.4,1.7,1.6,0.4,0.1,7.9
Al-Farouq Aminu,ORL,18,21.1,1.4,4.8,0.5,2,1.1,1.6,0.9,1.5,1.3,3.5,4.8,1.2,1,0.4,4.3
Kyle Kuzma,LAL,18,22.8,4,9.3,1.6,4.4,1.5,2.2,1.8,1.8,0.4,3,3.4,0.8,0.3,0.4,11.1
Tyler Johnson,PHX,18,20,2.4,6.1,1,3,1,1.3,1.1,1.6,0.3,1.7,1.9,2.3,0.3,0.3,6.9
Quinn Cook,LAL,18,13.7,2.2,5.1,0.7,1.8,0.2,0.3,0.8,0.6,0.2,1.1,1.3,1.6,0.3,0.1,5.3
Tyson Chandler,HOU,18,9,0.7,0.9,0,0,0.3,0.5,0.3,1.3,1.1,1.7,2.7,0.3,0.3,0.4,1.7
Kyle Korver,MIL,18,15.4,1.9,5.1,1.6,4.2,0.5,0.6,0.8,0.9,0.3,1.1,1.4,0.7,0.4,0.2,5.9
Raulzinho Neto,PHI,18,11.8,1.6,3.5,0.5,1.2,0.2,0.2,0.9,0.6,0.2,0.9,1.1,1.5,0.4,0.1,3.9
Carsen Edwards,BOS,18,11.7,1.3,4.3,0.8,2.6,0.6,0.7,0.5,1.1,0.3,1.5,1.8,0.9,0.4,0.1,4.1
Matt Dellavedova,CLE,18,13.1,0.8,3,0.2,1.8,0.7,0.7,0.8,1.5,0.2,1.1,1.3,2.1,0.4,0.1,2.4
Jimmy Butler,MIA,17,34.1,5.8,13.4,1.1,3.3,7.4,8.6,2.5,1.2,2,3.9,5.9,6.5,2.4,0.7,20.1
Joel Embiid,PHI,17,30.1,7.2,15.9,1.2,3.8,6.8,8.3,2.9,3.5,2.6,9.6,12.2,2.9,0.9,1.4,22.4
Brandon Ingram,NOP,17,34.2,9.2,18.8,2.3,5.5,4.8,5.8,2.8,2.8,0.8,6.4,7.2,4.1,0.9,1.1,25.4
Kevin Love,CLE,17,31,5.1,11.4,2.2,5.9,4.4,4.9,2.8,1.5,0.9,9.8,10.7,2.8,0.7,0.4,16.7
Andrew Wiggins,MIN,17,34.8,9.3,20.6,2.3,6.6,4,5.6,1.9,2.4,1.3,4.1,5.4,3.4,0.6,1.3,24.9
Steven Adams,OKC,17,26.4,4.5,7.4,0,0,1.4,2.6,1.4,1.9,2.8,6.2,9,2.8,0.5,1,10.4
Jaylen Brown,BOS,17,33.5,7.5,15.1,2,5.2,3,4.2,1.6,3.1,1.2,5.8,6.9,1.9,1.2,0.3,19.9
Ja Morant,MEM,17,28.7,6.9,15.2,0.9,2.3,3.8,5,3.4,1.7,0.9,2.2,3.2,6.4,1.4,0.3,18.6
Derrick Rose,DET,17,23.4,6.2,12.7,0.8,2.3,2.6,3.1,2.5,1.2,0.4,1.4,1.8,5.8,0.8,0.4,15.9
Mitchell Robinson,NYK,17,20.5,3.4,4.9,0,0,1.8,2.9,0.9,3.8,2.9,3.7,6.6,0.6,0.6,1.9,8.5
Moe Wagner,WAS,17,19.4,4.6,7.6,1.1,2.6,1.6,1.9,2.4,3.9,1.5,4.1,5.6,1.4,0.7,0.7,12
Daniel Theis,BOS,17,21.9,2.6,5.3,0.1,0.8,1.2,1.8,0.8,3.1,1.6,5.3,6.9,1.3,0.5,1.6,6.5
Isaiah Thomas,WAS,17,24.9,4.8,10.8,2,4.9,0.9,1.2,2.2,2.2,0.2,1.6,1.8,5.1,0.5,0.2,12.6
Kyle Anderson,MEM,17,20.5,2.8,5.5,0.2,0.9,0.9,1.6,0.9,1.7,0.9,3.5,4.4,2.6,0.7,0.7,6.7
Chris Boucher,TOR,17,12.9,2.1,4.8,0.5,1.6,1.2,1.7,0.4,1.5,2.2,2.5,4.7,0.6,0.4,0.9,5.9
Damyean Dotson,NYK,17,16.3,2.3,5.6,0.9,3.1,0.6,0.8,0.6,0.9,0.1,1.5,1.6,1.1,0.5,0.2,6.1
Svi Mykhailiuk,DET,17,17.4,1.9,4.6,1.5,3.4,0.3,0.4,0.9,1.2,0.2,1,1.2,1.4,0.4,0.1,5.7
Nickeil Alexander-Walker,NOP,17,14.2,2.3,7.1,1.3,3.8,0.6,0.8,1.2,1.5,0.2,2.1,2.3,2.1,0.3,0.1,6.5
Thabo Sefolosha,HOU,17,10.9,0.8,2.5,0.5,1.5,0,0,0.2,1,0.6,1.8,2.4,0.9,0.5,0.2,2.1
Troy Daniels,LAL,17,14.7,1.8,4.9,1.2,3.6,0.2,0.2,0.3,0.6,0.2,1.2,1.5,0.4,0.4,0.1,4.9
Dwayne Bacon,CHA,17,20.4,2.8,8.5,0.6,2.4,1.1,1.6,1.1,1.8,0.5,2.2,2.7,1.2,0.8,0.1,7.2
Terance Mann,LAC,17,8.6,1.1,2.1,0.1,0.5,0.4,0.5,0.6,1.1,0.2,1.1,1.2,1.2,0.3,0.1,2.6
Jerome Robinson,LAC,17,12.1,1.4,4,0.6,1.9,0.3,0.5,0.7,1.4,0.1,1.5,1.6,1,0.3,0.4,3.8
Vince Carter,ATL,17,15,1.8,5.4,0.9,3.6,0.4,0.5,0.6,1.7,0.2,1.8,1.9,0.7,0.4,0.3,4.9
Wayne Ellington,NYK,17,14.5,1.5,4.6,1.2,4,0.2,0.4,0.6,1.2,0.1,1.6,1.6,0.9,0.1,0.1,4.4
Clint Capela,HOU,16,32.7,6.8,10.4,0,0,1.4,3.1,1.5,2.9,4,11.1,15.1,1.1,0.9,2,15.1
Kawhi Leonard,LAC,16,31.2,9,20.5,1.6,5.2,5.4,6.4,3.2,2.1,1.1,6.8,7.9,5.3,1.9,0.8,25
Will Barton,DEN,16,33.1,5.6,12.6,1.9,4.8,1.8,2.4,1.4,2.2,1.8,5.4,7.2,3.5,1,0.4,14.8
Jeff Teague,MIN,16,28.9,3.5,8.8,0.6,2.4,4.2,4.9,2.1,2.2,0.4,2.2,2.6,7.4,0.9,0.3,11.8
Josh Richardson,PHI,16,32,5.8,12.8,2,5.2,2.5,3.1,2.3,2.9,0.6,2.8,3.4,3.6,1.1,0.6,16.1
Troy Brown  Jr.,WAS,16,21.1,2.9,6.6,0.4,1.7,0.7,0.9,1.1,1.4,1.4,3.8,5.1,1.8,1.2,0.1,6.9
Gorgui Dieng,MIN,16,12.5,1.9,4.3,0.5,1.5,0.8,1,0.6,1.4,0.9,3.3,4.2,1.2,0.7,1.1,5.1
E'Twaun Moore,NOP,16,20.4,3.7,8.8,1.3,3.4,0.9,1.4,0.7,1.7,0.8,2.4,3.2,1.4,0.5,0.1,9.6
Tony Bradley,UTA,16,9.8,1.8,2.9,0,0,0.7,1,0.5,1.8,1.2,2.2,3.5,0.2,0.1,0.5,4.3
Yogi Ferrell,SAC,16,13.1,1.9,4.2,0.5,1.4,1.1,1.2,0.8,0.9,0.2,1.2,1.5,1.7,0.4,0.1,5.3
Cody Martin,CHA,16,11.8,0.9,2.6,0.1,1.1,0.9,1.4,0.4,1.2,0.5,1.8,2.2,1.1,0.8,0.1,2.9
Anthony Tolliver,POR,16,16.9,1.1,3.6,0.8,2.9,0.6,0.7,0.6,1.3,0.6,2.6,3.2,0.7,0.2,0.4,3.5
Dzanan Musa,BRK,16,15.8,1.6,5.1,0.4,2.5,1.4,1.8,1.3,0.9,0.4,2.2,2.6,1.3,0.4,0.1,5.1
Georges Niang,UTA,16,10.8,1.4,3.1,0.7,1.8,0.4,0.6,0.5,1.4,0.1,1.6,1.7,0.5,0,0.1,4
Ricky Rubio,PHX,15,30.5,4.3,10.9,1.1,3.5,2.9,3.5,1.7,2.8,0.6,4.1,4.7,8.3,1.3,0.1,12.6
Khris Middleton,MIL,15,27.3,6.3,13.2,1.9,5.1,2.8,3.1,1.7,2.3,0.9,4.7,5.5,3.2,0.9,0.1,17.4
Sterling Brown,MIL,15,17,2.1,4.9,1,2.7,0.7,0.9,1,1.4,0.7,4.3,5,1.5,0.5,0.1,5.8
Goga Bitadze,IND,15,13.4,1.7,3.7,0.3,0.8,0.9,1.3,0.7,2.1,1.1,2.3,3.3,0.9,0.1,1.2,4.7
T.J. Leaf,IND,15,10.5,1.7,3.9,0.3,0.7,0.3,0.5,0.4,0.9,1.3,2.5,3.8,0.4,0.5,0.2,4.1
Jevon Carter,PHX,15,14.9,1.5,3.7,0.9,2.3,0.3,0.3,1,1.6,0.2,1.6,1.8,1.9,0.9,0.3,4.1
Nassir Little,POR,15,15.7,1.7,4.1,0.3,1.7,0.7,1.2,0.6,2,1.1,2.6,3.7,0.5,0.5,0.3,4.4
Rodney McGruder,LAC,15,17.4,1.5,4,0.7,2.3,0.2,0.5,0.5,1.7,0.7,1.7,2.4,0.8,0.3,0.2,4
Nikola Vucevic,ORL,14,30.8,6.8,15.1,1.1,3.6,2.4,2.8,1.4,1.9,2.9,8.6,11.6,3.5,0.6,1.1,17.1
Draymond Green,GSW,14,27.6,3.1,7.6,0.7,2.6,1.4,1.9,2.1,2.6,0.4,5.9,6.3,5.6,1.4,0.5,8.3
Danuel House,HOU,14,29.7,3.9,8.3,2.6,5.8,1.9,2.4,0.9,2,1.1,3.4,4.6,1.1,1.3,0.7,12.4
Josh Hart,NOP,14,28.1,3.9,8.8,2.3,5.9,1.8,2.3,1.4,2.8,1.2,5.4,6.6,1.4,1.2,0.4,11.9
Cheick Diallo,PHX,14,10.3,2.6,3.4,0.1,0.1,0.8,0.9,0.5,0.9,0.8,2.1,2.9,0.5,0.1,0.3,6.1
Jake Layman,MIN,14,26.3,4.4,9.4,1.4,3.9,0.4,0.7,1.3,2.2,0.9,2.1,2.9,0.8,0.9,0.7,10.5
Elie Okobo,PHX,14,10.6,1.5,3.7,0.7,1.8,0.8,1.4,0.3,0.6,0.1,0.9,1.1,2.7,0.3,0,4.5
Noah Vonleh,MIN,14,12.6,1.4,3.1,0.1,0.7,1.1,1.4,0.9,1.4,1.2,2.4,3.6,1.1,0.3,0.2,4.1
Isaac Bonga,WAS,14,15.4,1.6,3,0.3,0.7,0.5,0.7,0.6,2,0.8,2.1,2.9,1.2,0.6,0.1,3.9
Evan Turner,ATL,14,13.9,1.6,4.1,0,0.3,0.9,1,1.4,1.1,0.5,1.6,2.1,2.3,0.6,0.6,4.1
Dennis Smith,NYK,14,17.9,2.2,6.3,0.6,2,0.8,1.4,1.6,2.3,0.7,0.9,1.6,2.9,0.4,0.3,5.9
Malik Beasley,DEN,14,15.4,2.4,6.4,1.3,2.9,0.4,0.4,1.1,1.2,0.3,1.1,1.4,1.1,0.6,0.1,6.5
Alfonzo McKinnie,CLE,14,11.1,1.1,2.8,0.5,1.3,0.4,0.6,0.4,1.3,0.4,1.7,2.1,0.2,0.4,0.2,3.1
Chris Clemons,HOU,14,9.1,1.7,4.1,1.3,3.3,0.2,0.3,0.4,1,0.1,0.5,0.6,0.4,0.1,0.1,4.9
Tyrone Wallace,ATL,14,11.5,1,3.1,0.1,1.1,0.8,1.2,0.7,1.4,0.2,1.4,1.6,0.9,0.5,0.1,2.9
Aron Baynes,PHX,13,24,5.5,9.7,1.9,4.4,1.8,2.6,1.1,3.9,1.5,4.2,5.7,2.9,0.3,0.7,14.7
Myles Turner,IND,13,30.7,4.4,9.6,1.6,4.1,1.8,2.4,1.6,2.5,1.5,4.3,5.8,1,0.5,2.2,12.2
Lonzo Ball,NOP,13,27.7,4.1,10.9,2.3,6.8,0.5,0.8,2.4,1.9,0.8,3.4,4.2,5.6,1.1,0.2,10.9
Rondae Hollis-Jefferson,TOR,13,22,3.8,6.5,0,0.2,1.8,2.6,1.2,1.9,2.7,3.3,6,1.7,0.8,0.4,9.4
Enes Kanter,BOS,13,15.6,2.8,4.9,0,0.1,1.6,2.5,0.8,1.1,2.7,3.4,6.1,1,0.7,0.5,7.3
Jahlil Okafor,NOP,13,17.6,3.8,5.8,0.1,0.2,1.8,2.8,1.5,2.8,1.6,3.1,4.7,1.3,0.3,1,9.5
Jordan McRae,WAS,13,18.1,3.3,7,1,2.5,1.3,1.5,1.1,2,0.2,2.2,2.4,2.8,0.6,0.3,8.9
Kyle O'Quinn,PHI,13,9.2,1.4,2.5,0.4,0.9,0.2,0.5,0.9,1.4,1,2.3,3.3,1.3,0.2,0.5,3.3
Trevor Ariza,SAC,13,21.1,1.5,4.3,1.1,3.2,0.5,0.7,0.8,1.6,0.4,3.1,3.5,0.8,0.8,0.2,4.5
Abdel Nader,OKC,13,14.3,2.4,4.8,1,2.5,1.1,1.4,1.1,1.1,0.3,1.5,1.8,0.6,0.2,0.3,6.8
Bruno Caboclo,MEM,13,10.9,1.6,4.1,0.2,1.5,0.2,0.2,0.5,1.2,1,1.5,2.5,0.6,0.5,0.8,3.6
David Nwaba,BRK,13,11.8,1.2,2.1,0.4,0.8,0.5,0.9,0.5,1.5,0.4,1.7,2.1,0.4,0.4,0.7,3.4
